date,team,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_w,b_k,b_sb,b_gdp,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_w,p_k,p_hbp,p_sb,p_cs,d_a,d_dp,d_tp,d_sb,win
20250318,LAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20250318,CHN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20250319,LAN,42.0,34.0,4.0,7.0,2.0,0.0,0.0,8.0,9.0,0.0,0.0,32.0,3.0,1.0,0.0,0.0,1.0,1.0,9.0,1.0,1.0,0.0,8.0,0.0,0.0,1.0,1
20250319,CHN,32.0,30.0,1.0,3.0,1.0,0.0,0.0,1.0,9.0,1.0,0.0,42.0,7.0,2.0,0.0,0.0,4.0,8.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0
20250327,CHN,36.5,32.0,2.0,5.5,1.5,0.0,0.0,4.0,10.5,1.5,0.0,40.0,7.0,2.5,0.0,1.5,5.0,7.5,9.0,0.0,0.0,0.0,10.5,1.5,0.0,0.0,1
20250327,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20250327,ANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20250327,CHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20250327,SFN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20250327,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20250327,NYN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20250327,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20250327,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20250327,KCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20250327,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20250327,LAN,40.0,32.0,5.0,7.0,2.5,0.0,1.5,7.5,9.0,0.0,1.5,36.5,5.5,1.5,0.0,0.0,2.0,4.0,10.5,0.5,1.5,0.0,6.0,0.5,0.0,1.5,1
20250327,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20250327,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20250327,MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20250327,NYA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20250327,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20250327,SDN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20250327,ATH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20250327,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20250327,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20250327,SLN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20250327,BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20250327,TEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20250327,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20250327,TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20250327,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20250327,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20250328,CHN,40.0,35.0,4.666666666666667,7.666666666666667,2.0,0.0,0.3333333333333333,4.666666666666667,10.333333333333334,1.3333333333333333,0.0,40.0,7.666666666666667,2.6666666666666665,0.0,1.3333333333333333,5.333333333333333,6.0,7.333333333333333,0.6666666666666666,0.0,0.0,10.0,1.3333333333333333,0.0,0.0,0
20250328,ARI,40.0,33.0,6.0,9.0,3.0,0.0,1.0,3.0,4.0,0.0,1.0,47.0,12.0,3.0,0.0,1.0,10.0,6.0,10.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,1
20250328,NYN,38.0,30.0,1.0,6.0,1.0,0.0,0.0,6.0,7.0,0.0,1.0,36.0,7.0,0.0,0.0,0.0,3.0,5.0,7.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,1
20250328,HOU,36.0,29.0,3.0,7.0,0.0,0.0,0.0,5.0,7.0,0.0,1.0,38.0,6.0,1.0,0.0,0.0,1.0,6.0,7.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,0
20250328,DET,42.0,34.0,4.0,9.0,0.0,1.0,1.0,6.0,9.0,1.0,0.0,32.0,7.0,0.0,0.0,3.0,5.0,1.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0
20250328,LAN,37.333333333333336,31.666666666666668,5.0,7.0,1.6666666666666667,0.0,2.0,5.333333333333333,8.0,0.0,1.0,38.333333333333336,6.666666666666667,1.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,4.666666666666667,10.0,0.3333333333333333,1.3333333333333333,0.0,6.333333333333333,0.3333333333333333,0.0,1.3333333333333333,1
20250328,PIT,40.0,31.0,4.0,4.0,1.0,0.0,1.0,7.0,11.0,6.0,0.0,38.0,7.0,1.0,1.0,0.0,5.0,7.0,11.0,1.0,1.0,0.0,8.0,2.0,0.0,1.0,1
